매장명,시도명,구군명,도로명주소,전화번호,위도,오픈일자
역삼아레나빌딩,서울,강남구,서울특별시 강남구 언주로 425 (역삼동),1522-3232,37.501087,20190613
논현역사거리,서울,강남구,서울특별시 강남구 강남대로 538 (논현동),1522-3232,37.510178,20181123
신사역성일빌딩,서울,강남구,서울특별시 강남구 강남대로 584 (논현동),1522-3232,37.5139309,20191219
국기원사거리,서울,강남구,서울특별시 강남구 테헤란로 125 (역삼동),1522-3232,37.499517,20190731
대치재경빌딩,서울,강남구,서울특별시 강남구 남부순환로 2947 (대치동),1522-3232,37.494668,20190214
봉은사역,서울,강남구,서울특별시 강남구 봉은사로 619 (삼성동),1522-3232,37.515,20200528
압구정윤성빌딩,서울,강남구,서울특별시 강남구 논현로 834 (신사동),1522-3232,37.5227934,20200529
코엑스별마당,서울,강남구,서울특별시 강남구 영동대로 513 (삼성동),1522-3232,37.510150,20200416
삼성역섬유센터R,서울,강남구,서울특별시 강남구 테헤란로 518 (대치동),1522-3232,37.507750,20181123
압구정R,서울,강남구,서울특별시 강남구 언주로 861 (신사동),1522-3232,37.5273669,20180831
수서역R,서울,강남구,서울특별시 강남구 광평로 281 (수서동),1522-3232,37.48803134754136,20180627
양재강남빌딩R,서울,강남구,서울특별시 강남구 남부순환로 2621 (도곡동),1522-3232,37.485192,20180824
선릉동신빌딩R,서울,강남구,서울특별시 강남구 테헤란로 409 (삼성동),1522-3232,37.505321,20180330
봉은사로선정릉,서울,강남구,서울특별시 강남구 봉은사로 446 (삼성동),1522-3232,37.51131683405367,20180306
강남오거리,서울,강남구,서울특별시 강남구 봉은사로2길 39 (역삼동),1522-3232,37.502117,20170818
스타필드코엑스몰R,서울,강남구,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호,1522-3232,37.50999,20170502
강남구청정문,서울,강남구,서울특별시 강남구 학동로 419 (청담동),1522-3232,37.51827133155829,20170323
도곡공원,서울,강남구,서울특별시 강남구 도곡로 205 (역삼동),1522-3232,37.492805,20170825
강남R,서울,강남구,서울특별시 강남구 강남대로 390 (역삼동),1522-3232,37.497711,20170816
대치은마사거리,서울,강남구,서울특별시 강남구 도곡로 457 (대치동),1522-3232,37.498973,20160812
청담영동대로,서울,강남구,서울특별시 강남구 영동대로 720 (청담동),1522-3232,37.52275803097751,20161223
압구정,서울,강남구,서울특별시 강남구 압구정로30길 17 (신사동),1522-3232,37.526283,20160623
신사가로수,서울,강남구,서울특별시 강남구 가로수길 59 ,1522-3232,37.521933,20161227
청담스타R,서울,강남구,서울특별시 강남구 도산대로57길 24 (청담동),1522-3232,37.525216,20161214
강남우성,서울,강남구,서울특별시 강남구 강남대로 328 (역삼동),1522-3232,37.492396,20161110
학동사거리,서울,강남구,서울특별시 강남구 도산대로 328 (논현동),1522-3232,37.52247510377488,20150911
대치사거리,서울,강남구,서울특별시 강남구 삼성로 402 (대치동),1522-3232,37.503331,20160512
포스코사거리,서울,강남구,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩,1522-3232,37.5075307,20160224
을지병원사거리,서울,강남구,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)",1522-3232,37.5191632,20150422
신사역,서울,강남구,서울특별시 강남구 도산대로 108 (논현동) 렉스타워,1522-3232,37.5162021,20141211
도곡역,서울,강남구,서울특별시 강남구 남부순환로 2909 (대치동),1522-3232,37.492167,20140828
서울세관사거리,서울,강남구,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회,1522-3232,37.514887,20140731
청담사거리,서울,강남구,서울특별시 강남구 도산대로 458 (청담동) 리츠타워,1522-3232,37.5238436444947,20140220
한티역,서울,강남구,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)",1522-3232,37.496801,20131108
역삼초교사거리,서울,강남구,서울특별시 강남구 역삼로 123 (역삼동),1522-3232,37.49416922110828,20140326
코엑스몰,서울,강남구,서울특별시 강남구 영동대로 513 (삼성동) O103호,1522-3232,37.513715,20140301
가로수길,서울,강남구,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)",1522-3232,37.5231593,20131004
역삼대로,서울,강남구,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)",1522-3232,37.501623,20130625
역삼포스코,서울,강남구,"서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)",1522-3232,37.499721,20130709
강남대로,서울,강남구,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)",1522-3232,37.50314,20130620
청담,서울,강남구,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)",1522-3232,37.5243631,20130917
삼성교,서울,강남구,"서울특별시 강남구 영동대로86길 12, 동남유화빌딩 1층",1522-3232,37.507794,20130423
학동역,서울,강남구,서울특별시 강남구 논현로 704 (논현동),1522-3232,37.51464884,20040830
대치,서울,강남구,서울특별시 강남구 도곡로 511 (대치동),1522-3232,37.49966175,20030509
신세계푸드마켓도곡,서울,강남구,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)",1522-3232,37.490102006982106,20030115
삼성,서울,강남구,"서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)",1522-3232,37.50689645929321,20020329
선릉세화빌딩,서울,강남구,서울특별시 강남구 테헤란로64길 18 (대치동) 1층,1522-3232,37.50377562,20011110
압구정역,서울,강남구,"서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동)",1522-3232,37.52674095,20010310
압구정로,서울,강남구,서울특별시 강남구 압구정로42길 32 (신사동),1522-3232,37.5268256687184,20071221
구역삼사거리,서울,강남구,서울특별시 강남구 논현로 401 (역삼동),1522-3232,37.495890648099504,20080528
큰길타워,서울,강남구,"서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동)",1522-3232,37.50236693,20050310
강남구청역,서울,강남구,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)",1522-3232,37.5165849,20050420
대치역,서울,강남구,서울특별시 강남구 남부순환로 2936 (대치동) 107호,1522-3232,37.493554,20050510
포이,서울,강남구,서울특별시 강남구 논현로 88 (개포동),1522-3232,37.47781106,20050530
아크플레이스,서울,강남구,서울특별시 강남구 테헤란로 142 (역삼동),1522-3232,37.49971982,20060421
학여울역,서울,강남구,서울특별시 강남구 영동대로 215 (대치동),1522-3232,37.49803646,20060223
선정릉역,서울,강남구,서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩,1522-3232,37.51075489999999,20150922
삼성현대힐,서울,강남구,서울특별시 강남구 삼성로 605 (삼성동),1522-3232,37.51350444312708,20081205
GS타워,서울,강남구,서울특별시 강남구 논현로 508 (역삼동),1522-3232,37.5018592,20050806
압구정미소,서울,강남구,서울특별시 강남구 논현로 841 (신사동),1522-3232,37.523912710310014,20041210
